hidden_size,blocks,n_train,lr,min_val_loss
16.0,12.0,1000.0,0.01,-0.7629719032691076
16.0,12.0,1000.0,0.02,-0.6797213508532598
16.0,12.0,2000.0,0.01,-0.7803062725067139
16.0,12.0,2000.0,0.02,-0.7156038039922714
16.0,18.0,1000.0,0.01,-0.6474592628387305
16.0,18.0,1000.0,0.02,-0.8927786143926474
16.0,18.0,2000.0,0.01,-0.7655889558792114
16.0,18.0,2000.0,0.02,-0.6745150166749955
24.0,12.0,1000.0,0.01,-0.6142251256566781
24.0,12.0,1000.0,0.02,-0.6907021231376208
24.0,12.0,2000.0,0.01,-0.7374023213982582
24.0,12.0,2000.0,0.02,-0.7579854583740234
24.0,18.0,1000.0,0.01,-0.7321300093944256
24.0,18.0,1000.0,0.02,-0.7625195338175847
24.0,18.0,2000.0,0.01,-0.688921457529068
24.0,18.0,2000.0,0.02,-0.6746744334697723
