hidden_size,blocks,n_train,lr,min_val_loss
16.0,12.0,1000.0,0.01,-0.6092446148395538
16.0,12.0,1000.0,0.02,-0.5921354500147012
16.0,12.0,2000.0,0.01,-0.6210098975896835
16.0,12.0,2000.0,0.02,-0.5941451793909073
16.0,18.0,1000.0,0.01,-0.4401342307145779
16.0,18.0,1000.0,0.02,-0.6125186853683912
16.0,18.0,2000.0,0.01,-0.6042742395401001
16.0,18.0,2000.0,0.02,-0.6682708832621574
24.0,12.0,1000.0,0.01,-0.742965395633991
24.0,12.0,1000.0,0.02,-0.5628178532306964
24.0,12.0,2000.0,0.01,-0.6412067782878875
24.0,12.0,2000.0,0.02,-0.6194236159324646
24.0,18.0,1000.0,0.01,-0.6270856628051171
24.0,18.0,1000.0,0.02,-0.5970588532777933
24.0,18.0,2000.0,0.01,-0.6448652052879333
24.0,18.0,2000.0,0.02,-0.568496413230896
