hidden_size,blocks,n_train,lr,min_val_loss
16.0,12.0,1000.0,0.01,0.5095040038801156
16.0,12.0,1000.0,0.02,0.5596362547232554
16.0,12.0,2000.0,0.01,0.4613446706533432
16.0,12.0,2000.0,0.02,0.5986176469922065
16.0,18.0,1000.0,0.01,0.6224719125490922
16.0,18.0,1000.0,0.02,0.5731769983585064
16.0,18.0,2000.0,0.01,0.4992986984550953
16.0,18.0,2000.0,0.02,0.5846145969629287
24.0,12.0,1000.0,0.01,0.5805296966662774
24.0,12.0,1000.0,0.02,0.5538555590006021
24.0,12.0,2000.0,0.01,0.594507737159729
24.0,12.0,2000.0,0.02,0.5958543753623963
24.0,18.0,1000.0,0.01,0.4758023745738543
24.0,18.0,1000.0,0.02,0.6202290883431067
24.0,18.0,2000.0,0.01,0.5315360140800476
24.0,18.0,2000.0,0.02,0.5842957204580307
