hidden_size,blocks,n_train,lr,min_val_loss
16.0,12.0,1000.0,0.01,0.1401677614507767
16.0,12.0,1000.0,0.02,0.20089620667008254
16.0,12.0,2000.0,0.01,0.10551182333379984
16.0,12.0,2000.0,0.02,0.1750200805813074
16.0,18.0,1000.0,0.01,0.18881044479516837
16.0,18.0,1000.0,0.02,0.26527257149036115
16.0,18.0,2000.0,0.01,0.003063705191016197
16.0,18.0,2000.0,0.02,0.21888071700930595
24.0,12.0,1000.0,0.01,0.1548426907796126
24.0,12.0,1000.0,0.02,0.38837759311382586
24.0,12.0,2000.0,0.01,0.08671783730387687
24.0,12.0,2000.0,0.02,0.32191180050373075
24.0,18.0,1000.0,0.01,0.15369691542134836
24.0,18.0,1000.0,0.02,0.3149373112962796
24.0,18.0,2000.0,0.01,0.18447223339229823
24.0,18.0,2000.0,0.02,0.2911288380622864
